Year,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_of_Fire,Type_of_Death,Impunity_for_Murder,Taken_Captive,Threatened,Tortured,Link
2016,21-Jul-16,Abdelqadir Fassouk,Male,Libya,Arraed Satellite TV,Libyan,"Print, Television","Camera Operator, Photographer",War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/abdelqadir-fassouk.php
2016,20-Jul-16,Pavel Sheremet,Male,Ukraine,"Ukrainska Pravda, Radio Vesti",Russian,"Radio, Internet","Broadcast, Internet Reporter","Corruption, Crime, Politics",No,Foreign,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/pavel-sheremet.php
notsure,October 2015 - June 2016,Sami Jawdat Rabah,Male,Syria,Syrian Observatory for Human Rights,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/sami-jawdat-rabah.php
notsure,October 2015 - June 2016,Samer Mohammed Aboud,Male,Syria,"Free Deir al-Zour Radio, Development Interaction Network",Syrian,"Radio, Internet","Broadcast, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/samer-mohammed-aboud.php
notsure,October 2015 - June 2016,Mustafa Abdul Hassa,Male,Syria,Shaam News Network,Syrian,Internet,Internet Reporter,War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/mustafa-abdul-hassa.php
notsure,October 2015 - June 2016,Mohammed Eissa,Male,Syria,Nateq Network,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/mohammed-eissa.php
2016,14-Jul-16,Abdullah Mohammad Ghannam,Male,Syria,Shahba Press Agency,Syrian,Internet,"Photographer, Internet Reporter","Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/abdullah-mohammad-ghannam.php
2016,13-Jul-16,Ali Mahmud,Male,Iraq,Al-Ghadeer TV,Iraqi,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ali-mahmud.php
2016,11-Jul-16,Ibrahim Omar,Male,Syria,Al Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ibrahim-omar.php
2016,25-Jun-16,Khaled Eissa ,Male,Syria,Freelance,Syrian,"Television, Internet","Camera Operator, Photographer","Human Rights, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2016/khaled-eissa.php
2016,24-Jun-16,Khaled al-Zintani ,Male,Libya,Freelance ,Libyan ,"Television, Internet",Photographer,War,Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/khaled-al-zintani.php
2016,19-Jun-16,Elidio Ramos Zörate,Male,Mexico,El Sur,Mexican,Print,Print Reporter,Crime,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/elidio-ramos-zarate.php
2016,"January 30 to February 24, 2016",Rohat Akta_,Male,Turkey,Azadiya Welat,Turkish,Print,"Editor, Print Reporter","Politics, War",No,Local,Military Officials,Unknown,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/rohat-aktas.php
2016,5-Jun-16,David Gilkey,Male,Afghanistan,National Public Radio,American,"Radio, Internet",Photographer,"Politics, War",No,Foreign,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/david-gilkey.php
2016,5-Jun-16,Zabihullah Tamanna,Male,Afghanistan,National Public Radio,Afghan,"Print, Radio, Internet",Producer,"Culture, Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2016/zabihullah-tamanna.php
2016,5-Jun-16,Osama Jumaa,Male,Syria,Images Live,Syrian,"Television, Internet","Camera Operator, Photographer",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/osama-jumaa.php
2016,5-Jun-16,Sagal Salad Osman,Female,Somalia,Radio Mogadishu,Somali,Radio,Broadcast,Culture,No,Local,Political Group,Murder,Yes,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/sagal-salad-osman.php
2016,13-May-16,Rajdev Ranjan,Male,India,Hindustan,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/rajdev-ranjan.php
2016,12-Apr-16,Zaher al-Shurqat,Male,Turkey,Aleppo Today,Syrian,Internet,Broadcast,War,No,Foreign,Political Group,Murder,Yes,No,Yes,No,https://www.cpj.org/killed/2016/zaher-al-shurqat.php
2016,21-Mar-16,Mohammed Ghalib al-Majidi,Male,Yemen,Freelance,Yemeni,Internet,"Camera Operator, Photographer, Internet Reporter","Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/mohammed-ghalib-al-majidi.php
2016,19-Feb-16,Majid Dirani,Male,Syria,Freelance,Syrian,Internet,"Camera Operator, Internet Reporter",War,Yes,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/majid-dirani.php
2016,16-Feb-16,Ahmed al-Shaibani,Male,Yemen,"Yaman News, Yemen TV",Yemeni,"Television, Internet","Camera Operator, Photographer, Internet Reporter",War,Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ahmed-al-shaibani.php
2016,13-Feb-16,Karun Misra,Male,India,Jansandesh Times,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,"Criminal Group, Local Residents",Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2016/karun-misra.php
2016,5-Feb-16,El-Hadj Mohamed Diallo ,Male,Guinea,"Guin_e7, Afrik",Guinea,Internet,Internet Reporter,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,"No
",https://www.cpj.org/killed/2016/el-hadj-mohamed-diallo.php
2016,22-Jan-16,Hashim al-Hamran,Male,Yemen,Al-Masirah TV,Yemeni,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/hashim-al-hamran.php
2016,21-Jan-16,Marcos Hernöndez Bautista ,Male,Mexico,"Noticias, Voz e Imagen de Oaxaca",Mexico,"Print, Radio","Broadcast, Print Reporter","Corruption, Politics",No,Local,Unknown Fire,Murder,Partial,No,Yes,"No
",https://www.cpj.org/killed/2016/marcos-hernandez-bautista.php
2016,17-Jan-16,Almigdad Mojalli,Male,Yemen,Freelance,Yemeni,"Print, Internet","Broadcast, Print Reporter","Culture, Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,Unknown,"No
",https://www.cpj.org/killed/2016/almigdad-mojalli.php
2016,12-Jan-16,Hassan al-Anbaki,Male,Iraq,Al-Sharqiya,Iraq ,Television,Camera Operator,War,No,Local,Political Group,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2016/hassan-al-anbaki.php
2016,12-Jan-16,Saif Talal,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/saif-talal.php
2015,27-Dec-15,Naji Jerf,Male,Turkey,"Hentah, Raqqa is Being Slaughtered Silently",Syria,Internet,"Editor, Producer","Human Rights, Politics",No,Foreign,Political Group,Murder,Yes,No,Yes,No,https://www.cpj.org/killed/2015/naji-jerf.php
2015,16-Dec-15,Ahmed Mohamed al-Mousa,Male,Syria,Raqqa is Being Slaughtered Silently ,Syria,Internet,Editor,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/ahmed-mohamed-al-mousa.php
2015,7-Dec-15,Zakaria Ibrahim,Male,Syria,Al-Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2015/zakaria-ibrahim.php
2015,3-Dec-15,Hindia Haji Mohamed,Female,Somalia,"Radio Mogadishu, Somali National TV",Somalia,"Radio, Television","Broadcast, Producer","Politics, War",No,Local,Political Group,Murder,No,No,No,"No
",https://www.cpj.org/killed/2015/hindia-haji-mohamed.php
2015,13-Nov-15,Guillaume Barreau-Decherf,Male,France,Freelance ,France,Print,Print Reporter,Culture,Yes,Local,Political Group,Dangerous Assignment,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/guillaume-barreau-decherf.php
2015,13-Nov-15,êtalo Eduardo Diniz Barros,Male,Brazil,Blog êtalo Diniz,Brazil,Internet,Internet Reporter,Politics,No,Local,"Government Officials, Local Residents",Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/italo-eduardo-diniz-barros.php
2015,10-Nov-15,Israel Gonçalves Silva,Male,Brazil,Rödio Itaenga FM,Brazil,Radio,Broadcast,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/israel-goncalves-silva.php
2015,6-Nov-15,Ahmed Abu al-Hamza,Male,Syria,"SMART News Agency, Hama Media Center",Syria,Internet,"Camera Operator, Photographer",War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2015/ahmed-abu-al-hamza.php
2015,3-Nov-15,Batoul Mokhles al-Warrar,Female,Syria,Noor al-Sham; Radio Damascus,Syria,"Radio, Television",Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/batoul-mokhles-al-warrar.php
